id,nombre,descripcion,categoria,precio,imagen,codigo,stock
1996,Sacapunta Con Borrador,Sacapunta Con Borrador, ,7,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7872571392012.jpg,7872571392012,9988
1997,Sacapunta Con Caja,Sacapunta Con Caja, ,13,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257125204.jpg,787257125204,9999
1998,Sacapunta Sencillo,Sacapunta Sencillo, ,5,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7502285733480.jpg,7502285733480,-12
1999,Sacapuntas con deposito Maped,Sacapuntas con deposito Maped,Papeleria,6,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/43154140631114.jpg,43154140631114,0
2000,Sacapuntas Metalico Smarty,Sacapuntas Metalico Smarty, ,12,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257134732.jpg,787257134732,9991
2001,Sapo Conico AguaMaster,Sapo Conico AguaMaster, ,21,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/648898002043.jpg,648898002043,9998
2002,Sapo Conico WC ,Sapo Conico WC , ,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/54135156456.jpg,54135156456,9998
2003,"Sapo para WC 3"" Foset","Sapo para WC 3"" Foset",Ferreteria,39,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7506240691150.jpg,7506240691150,2
2004,Sapo Para WC Foset,Sapo Para WC Foset,Ferreteria,26,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206698969.jpg,7501206698969,6
2005,Sapo WC,Sapo WC, ,15,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/561321354.jpg,561321354,9999
2006,Segueta Bimetalica 18 Dpp 12in Truper,Segueta Bimetalica 18 Dpp 12in Truper,Ferreteria,25,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206642108.jpg,7501206642108,14
2007,Segueta Caladora Fierro Madera Grueso Truper,Segueta Caladora Fierro Madera Grueso Truper, ,47,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/456135413541.jpg,456135413541,9999
2008,Segueta Caladora Madera Curva ,Segueta Caladora Madera Curva , ,47,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/8613541354.jpg,8613541354,9999
2009,Segueta Caladora Madera Gruesa,Segueta Caladora Madera Gruesa, ,36,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/14531313.jpg,14531313,9999
2010,Segueta para  caladora madera u8,Segueta para  caladora madera u8,Ferreteria,68,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206677742.jpg,7501206677742,-1
2011,Segueta para caladora ferrosos ,Segueta para caladora ferrosos ,Ferreteria,68,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206677766.jpg,7501206677766,0
2012,Segueta para caladora madera u6 15/cu,Segueta para caladora madera u6 15/cu,Ferreteria,68,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206677773.jpg,7501206677773,0
2013,Sellador 1L sellamax,Sellador 1L sellamax,Ferreteria,68,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/761616516.jpg,761616516,0
2014,Sellador 3.785l Sellamax,Sellador 3.785l Sellamax,Ferreteria,210,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/4504000.jpg,4504000,1
2015,Sellador Acrilico Transparente 280ml Truper,Sellador Acrilico Transparente 280ml Truper,Ferreteria,63,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7506240602071.jpg,7506240602071,0
